item_id,category,department,from_state_name,to_state_name,staff_id,transition_date_time,transition_order,duration_secs,cumulative_duration_secs,price
23506,Forks,Kitchen and Dining,FORSALE_REVIEW,FORSALE_APPROVED,,2019-01-18T23:57:59.992000+00:00,13,3880,44934484,47.8
23524,Spoons,Kitchen and Dining,FORSALE_REVIEW,FORSALE_APPROVED,,2019-01-11T21:00:21.497000+00:00,13,10363,44318309,8.05
23540,Spoons,Kitchen and Dining,PICKED,PACKING,138,2019-01-02T19:13:46.025000+00:00,8,4402,43533748,21.46
23540,Spoons,Kitchen and Dining,PACKING,PACKED,138,2019-01-02T19:15:23.753000+00:00,9,97,43533845,21.46
23540,Spoons,Kitchen and Dining,PACKED,DROPPED,138,2019-01-02T19:16:57.917000+00:00,10,94,43533939,21.46
23540,Spoons,Kitchen and Dining,PICKING,PICKED,120,2019-01-02T18:00:24.186000+00:00,7,62,43529346,21.46
23540,Spoons,Kitchen and Dining,ORDERED,PICKING,120,2019-01-02T17:59:22.125000+00:00,6,147151,43529284,21.46
23540,Spoons,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-02T19:56:25.473000+00:00,11,2368,43536307,21.46
23540,Spoons,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-01T01:06:51.797000+00:00,5,37506747,43382133,21.46
23582,Forks,Kitchen and Dining,DROPPED,PICKED_UP,,2019-01-18T23:50:51.112000+00:00,11,1784,44931087,43.94
23582,Forks,Kitchen and Dining,PICKING,PICKED,117,2019-01-18T23:16:48.097000+00:00,7,126,44929044,43.94
23582,Forks,Kitchen and Dining,PICKED,PACKING,117,2019-01-18T23:19:43.941000+00:00,8,175,44929219,43.94
23582,Forks,Kitchen and Dining,PACKING,PACKED,117,2019-01-18T23:20:49.432000+00:00,9,66,44929285,43.94
23582,Forks,Kitchen and Dining,ORDERED,PICKING,117,2019-01-18T23:14:42.559000+00:00,6,7791,44928918,43.94
23582,Forks,Kitchen and Dining,FORSALE_APPROVED,ORDERED,,2019-01-18T21:04:51.870000+00:00,5,15356649,44921127,43.94
23582,Forks,Kitchen and Dining,PACKED,DROPPED,117,2019-01-18T23:21:07.560000+00:00,10,18,44929303,43.94
24081,Spoons,Kitchen and Dining,PICKING,PICKED,178,2019-01-14T18:59:42.389000+00:00,7,0,44155556,43.86
