unique_item_id,used_list_price,used_condition,department,category,item_parent_sku,color,size,msrp_new,last_known_retail_price_new,first_approved_date,first_ordered_date
280297,66.96,OK,Kids Storage,Boxes,857508,Brown,10,162.0,,2018-06-17T00:00:00,2018-08-13T00:00:00
288345,74.4,Perfect,Outdoor Storage,Boxes,114409,Blue,10,144.0,,2018-07-02T00:00:00,2018-08-13T00:00:00
301344,82.4796,Great,Outdoor Storage,Shelves,133777,Gray,10,135.0,93.34105,2018-08-06T00:00:00,2018-08-09T00:00:00
305009,205.1394,Perfect,Outdoor Furniture,Rugs,143254,Blue,M,434.5,,2018-08-10T00:00:00,2018-10-24T00:00:00
292522,13.6188,Perfect,Outdoor Furniture,Dining Tables,137829,Blue,On,33.0,14.83,2018-07-12T00:00:00,2018-07-22T00:00:00
323455,132.4878,Perfect,Kitchen and Dining,Spoons,126620,Green,Re,170.955,,2018-09-20T00:00:00,2018-09-25T00:00:00
305562,129.5568,Perfect,Kitchen and Dining,Knives,128572,Pink,M/,143.955,,2018-08-11T00:00:00,2018-08-15T00:00:00
280578,63.18,Great,Outdoor Storage,Boxes,122164,Blue,8.,117.0,,2018-06-16T00:00:00,2018-06-29T00:00:00
288823,13.3827,Perfect,Kids Furniture,Dining Tables,128970,Black,L,27.5,16.93,2018-07-05T00:00:00,2018-07-16T00:00:00
297918,56.3544,Perfect,Kitchen and Dining,Gadgets,130128,Green,NO,67.5,51.35955,2018-07-22T00:00:00,2018-07-22T00:00:00
280882,82.566,Great,Kids Storage,Shelves,109185,Black,10,117.0,93.43455,2018-06-17T00:00:00,2018-06-17T00:00:00
283661,251.7324,Perfect,Kitchen and Dining,Forks,110206,Green,NO,341.955,266.40955,2018-06-18T00:00:00,2018-06-22T00:00:00
318029,31.3689,Great,Storage,Boxes,133792,Purple,1 ,67.455,,2018-09-10T00:00:00,2018-09-22T00:00:00
289257,79.4499,Perfect,Kitchen and Dining,Bowls,710632,Blue,NO,116.1,84.08455,2018-07-05T00:00:00,2018-07-11T00:00:00
279384,46.9584,Great,Kids Storage,Shelves,881696,Gray,14,85.5,53.13605,2018-06-12T00:00:00,2018-10-23T00:00:00
289149,41.85,Perfect,Outdoor Furniture,Chairs,111629,Black,M,82.5,,2018-07-05T00:00:00,2018-07-07T00:00:00
300141,79.4499,Perfect,Kitchen and Dining,Spoons,896028,Gray,Re,107.955,84.08455,2018-07-28T00:00:00,2018-09-04T00:00:00
280120,81.4536,Perfect,Kitchen and Dining,Spoons,132755,Green,Lo,161.1,,2018-07-01T00:00:00,2018-09-11T00:00:00
309755,49.0389,Great,Kids Furniture,Rugs,137182,Black,XL,109.45,68.93,2018-08-23T00:00:00,2018-09-22T00:00:00
315454,130.734,Great,Kids Storage,Boxes,146536,Black,47,242.1,,2018-09-02T00:00:00,2018-09-04T00:00:00
316781,58.1715,Great,Outdoor Storage,Bags,110603,Blue,38,125.1,,2018-09-04T00:00:00,2018-09-07T00:00:00
319068,82.0584,OK,Outdoor Storage,Boxes,156796,Black,7.,153.0,,2018-09-10T00:00:00,2018-09-20T00:00:00
300997,27.8628,Perfect,Kitchen and Dining,Appliances,144557,Gray,NO,35.955,,2018-07-29T00:00:00,2018-09-01T00:00:00
307865,82.9467,Perfect,Kids Storage,Shelves,134976,Gray,10,135.0,98.10955,2018-08-17T00:00:00,2018-08-24T00:00:00
283836,92.4804,Great,Outdoor Furniture,Side Tables,136538,Blue,L,176.0,111.93,2018-06-24T00:00:00,2018-10-15T00:00:00
303114,59.4,Perfect,Outdoor Storage,Shelves,128227,Gray,8,99.0,,2018-08-04T00:00:00,2018-10-23T00:00:00
275183,59.5758,Great,Kitchen and Dining,Spoons,894999,Gray,Lo,89.955,70.05955,2018-06-05T00:00:00,2018-06-15T00:00:00
301976,61.4844,Perfect,Kitchen and Dining,Spoons,129970,Red,Sh,71.955,56.03455,2018-08-03T00:00:00,2018-08-20T00:00:00
304092,35.6508,Perfect,Outdoor Furniture,Chairs,101388,Brown,M,87.45,38.83,2018-08-06T00:00:00,2018-08-21T00:00:00
290083,180.6525,Perfect,Kitchen and Dining,Bowls,120004,Black,GR,233.1,,2018-08-19T00:00:00,2018-08-20T00:00:00
282829,65.1,Perfect,Kids Storage,Shelves,137593,Brown,11,126.0,,2018-06-22T00:00:00,2018-06-22T00:00:00
301134,59.9508,Great,Kitchen and Dining,Spoons,846692,Blue,Re,80.955,60.70955,2018-08-06T00:00:00,2018-09-16T00:00:00
318206,75.33,Great,Kids Storage,Bags,112198,Brown,41,139.5,,2018-09-09T00:00:00,2018-09-15T00:00:00
311413,24.6729,Perfect,Kitchen and Dining,Spoons,866771,Blue,L,42.255,26.11455,2018-08-26T00:00:00,2018-08-29T00:00:00
288718,31.7304,Perfect,Outdoor Storage,Boxes,156845,Green,8,67.5,,2018-07-02T00:00:00,2018-07-13T00:00:00
321739,74.3814,OK,Kids Storage,Boxes,145217,Brown,9,179.955,,2018-09-16T00:00:00,2018-10-14T00:00:00
280383,21.4272,Perfect,Outdoor Furniture,Beds,111133,Blue,S,99.0,30.83,2018-06-16T00:00:00,2018-08-09T00:00:00
303046,153.8568,Perfect,Kitchen and Dining,Spoons,126620,Green,Re,170.955,,2018-08-06T00:00:00,2018-08-11T00:00:00
291922,61.83,Great,Outdoor Furniture,Rugs,133943,Pink,L,165.0,74.83,2018-07-13T00:00:00,2018-09-24T00:00:00
339697,41.4594,Perfect,Outdoor Furniture,Side Tables,150840,Black,M,88.0,,2018-10-29T00:00:00,2018-10-30T00:00:00
282106,141.3072,Perfect,Outdoor Furniture,Side Tables,138783,Khaki,M,242.0,153.93,2018-06-16T00:00:00,2018-08-16T00:00:00
299619,34.3914,Perfect,Kitchen and Dining,Appliances,109988,Green,NO,71.1,36.39955,2018-07-28T00:00:00,2018-08-10T00:00:00
315261,76.911,Perfect,Kids Furniture,Side Tables,138472,Black,XL,152.9,97.29,2018-09-03T00:00:00,2018-10-11T00:00:00
301925,30.6993,Perfect,Outdoor Furniture,Chairs,101388,Brown,M,87.45,38.83,2018-08-03T00:00:00,2018-08-20T00:00:00
290392,62.37,OK,Kitchen and Dining,Wine Glasses,111300,Blue,XS,99.0,,2018-07-10T00:00:00,2018-07-10T00:00:00
295826,37.4868,Perfect,Outdoor Storage,Boxes,137584,Blue,10,153.0,38.17605,2018-07-19T00:00:00,2018-10-13T00:00:00
299694,109.512,OK,Kitchen and Dining,Spoons,127387,Purple,Re,152.1,,2018-07-28T00:00:00,2018-08-28T00:00:00
305283,24.5892,Great,Outdoor Storage,Boxes,156845,Green,8,67.5,,2018-08-11T00:00:00,2018-10-14T00:00:00
317035,58.59,Great,Kids Storage,Shelves,813279,Khaki,13,126.0,,2018-09-08T00:00:00,2018-09-19T00:00:00
