item_parent_sku,pageviews
119347,16937
102353,13277
114250,12216
100353,11282
110723,9548
100686,9469
100293,9406
105157,9381
878775,8932
107168,8551
111260,8056
107475,7813
100291,7372
870757,7267
107169,6984
103351,6602
127386,6003
134240,5840
103767,5834
110923,5574
113821,5533
103280,5472
130067,5415
105158,5272
101097,5244
829826,5141
129970,5035
136333,4998
103032,4984
112608,4887
132413,4883
101402,4832
109391,4793
866771,4773
110922,4731
110927,4536
870756,4519
113257,4466
107371,4409
112181,4398
111164,4380
846001,4305
102404,4302
150405,4257
107476,4234
883480,4209
112187,4162
100677,4128
101065,4038
878774,3999
896029,3992
719843,3973
110921,3969
110928,3929
103728,3924
100463,3863
103171,3863
127033,3847
106353,3832
108110,3752
103134,3741
118024,3735
101247,3689
113731,3686
111307,3663
115518,3638
103756,3627
115500,3615
111165,3606
101634,3583
112649,3565
873348,3555
121292,3541
107170,3444
151142,3426
848491,3400
100183,3394
101989,3388
112647,3379
112622,3343
110837,3340
102347,3338
856296,3292
109017,3291
100635,3240
113720,3201
102647,3190
108197,3177
102342,3162
129063,3112
100365,3084
100292,3077
828505,3062
107474,3026
109185,3008
125306,2992
112843,2964
109016,2960
113719,2957
895649,2927
111336,2915
103460,2911
894947,2904
899041,2893
126281,2879
103736,2870
128163,2840
126871,2838
119400,2832
112098,2797
121179,2790
127388,2789
894312,2784
151087,2779
102914,2765
110926,2756
113824,2724
126617,2711
111166,2698
141414,2694
127259,2689
106816,2685
102352,2684
127865,2684
136334,2669
119115,2657
115519,2623
871413,2622
101635,2593
100130,2583
893230,2578
118429,2570
886063,2556
112408,2548
128580,2535
142459,2528
112410,2493
896031,2489
103283,2466
104140,2459
108629,2441
885901,2440
111796,2437
101189,2432
896033,2424
149978,2417
111408,2416
101388,2415
102945,2395
111741,2380
113904,2375
111305,2373
150004,2370
894313,2345
127779,2316
135264,2304
110823,2300
871143,2298
127032,2288
105436,2271
136215,2252
104962,2250
104835,2246
857721,2245
872839,2245
109944,2237
101652,2226
102078,2219
111534,2208
113110,2198
881573,2180
789686,2168
129503,2167
101985,2165
126618,2165
111692,2163
114479,2161
797114,2161
114790,2156
120234,2147
112126,2143
118032,2140
895650,2138
125062,2127
117250,2121
865689,2121
110925,2119
104731,2107
111143,2106
150889,2106
120235,2104
106765,2097
119906,2091
102673,2086
135416,2074
108699,2072
130066,2067
128394,2063
101387,2061
103764,2052
127390,2051
127862,2033
101707,2028
139264,2028
118006,2026
148974,2024
116784,2015
127387,2015
894683,2013
810386,2011
881574,2007
892144,2005
857508,2002
855864,2001
117672,2000
872509,1986
102018,1976
117155,1975
897078,1966
113826,1955
102327,1954
792857,1929
845298,1929
895641,1928
125274,1922
103816,1902
880616,1902
103761,1894
113443,1888
151659,1888
151153,1882
101773,1875
101565,1873
125065,1873
116086,1866
120226,1865
127964,1864
106875,1861
885902,1859
897799,1853
118037,1852
120462,1848
103734,1845
113822,1843
113905,1841
105368,1837
101476,1833
144180,1833
128578,1828
120224,1823
109751,1822
120606,1816
118018,1815
885863,1815
107067,1814
129485,1813
105376,1809
139266,1809
102405,1806
124940,1802
