Department,Category,Condition Group,Sales Week,Net Item Revenue (Fulfilled),Net Items (Fulfilled),Gross Orders (Fulfilled),Net Sell Through Items (Week),MSRP of Sold Items,Avg. Item Age When Sold,Avg. Item Age EOW,EOW Inventory For Sale $,EOW Inventory For Sale Items,MSRP of EOW Inventory,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,1/13/2019,$194,$4,5,30.80%,$243,14.63,27.02,$614,9.9,$698,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,1/6/2019,$87,$2,3,12.50%,$109,11.088,11.48,$886,14,"$1,006",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,12/30/2018,$245,$6,7,30.00%,$306,13.86,10.64,$847,14,$963,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,12/23/2018,"$1,340",$19,16,65.50%,"$1,675",5.852,7.98,$606,10,$689,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,12/16/2018,$864,$10,10,30.30%,"$1,080",20.02,9.73,"$1,739",23,"$1,976",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,12/9/2018,$396,$7,7,28.00%,$495,41.811,22.12,"$1,840",18,"$2,091",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,12/2/2018,"$1,359",$15,16,46.90%,"$1,699",19.866,24.5,"$1,553",17,"$1,765",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,11/25/2018,$692,$11,11,31.40%,$865,59.367,31.43,"$2,456",24,"$2,791",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,11/18/2018,$896,$10,9,23.30%,"$1,120",11.319,29.19,"$2,988",33,"$3,395",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,11/11/2018,$568,$6,6,13.60%,$710,37.422,26.88,"$3,280",38,"$3,728",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,11/4/2018,$388,$6,6,20.70%,$485,78.617,49.63,"$1,686",23,"$1,916",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,10/28/2018,$188,$3,3,18.80%,$235,52.129,99.96,$602,13,$684,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,10/21/2018,$213,$5,4,25.00%,$266,121.198,104.16,$671,15,$763,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,10/14/2018,$143,$3,3,13.60%,$179,73.535,98.84,$837,19,$951,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Perfect,10/7/2018,$129,$1,4,4.80%,$161,96.25,96.6,$894,20,"$1,016",,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,1/13/2019,$85,$2,2,66.70%,$106,14.168,16.45,$59,1,$68,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,1/6/2019,$0,$0,0,0.00%,$0,0,12.67,$158,3,$180,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,12/30/2018,$179,$4,4,66.70%,$224,19.789,16.59,$118,2,$134,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,12/23/2018,$142,$2,2,28.60%,$178,5.698,12.81,$283,5,$321,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,12/16/2018,$304,$5,5,45.50%,$380,1.309,9.38,$371,6,$421,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,12/9/2018,$82,$2,2,33.30%,$103,94.864,24.15,$293,4,$333,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,12/2/2018,$71,$1,1,20.00%,$89,0.154,36.4,$208,4,$236,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,11/25/2018,$435,$5,5,55.60%,$544,8.085,21.07,$208,4,$236,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,11/18/2018,$531,$7,6,46.70%,$664,5.698,17.15,$655,8,$744,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,11/11/2018,$151,$3,3,20.00%,$189,3.773,12.6,$834,12,$948,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,11/4/2018,$0,$0,0,0.00%,$0,0,17.64,$314,6,$356,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,10/28/2018,$81,$2,2,66.70%,$101,14.014,50.33,$45,1,$51,,,,,,,,,,,,#REF!
Kitchen and Dining,Gadgets,Great,10/21/2018,$94,$2,2,40.00%,$118,9.086,32.55,$110,3,$125,,,,,,,,,,,,#REF!
